"ID","RA_ICRS","DE_ICRS","plx","pmRA","pmDE","UCC_ID","N_50","r_50","RA_ICRS_m","DE_ICRS_m","plx_m","pmRA_m","pmDE_m","Rv_m","N_Rv","C1","C2","C3"
"OC 0664",248.42508,-45.80526,0.147,-2.781,-3.474,"UCC G338.0+01.3a",136,2.9,248.438,-45.808,0.19,-2.778,-3.49,-31.022,10,0.97,0.89,"AA"
"HSC 2802",247.40517,-45.10942,1.047,-0.301,-2.332,"UCC G338.0+02.3",0,10.3,247.446,-45.086,1.049,-0.332,-2.271,22.503,1,0.41,0.4,"CC"
"CWNU 1527",250.63818,-47.11606,0.35,-1.108,-2.735,"UCC G338.0-00.6",28,4.2,250.649,-47.086,0.348,-1.105,-2.756,-13.99,2,0.43,0.66,"CB"
"Ryu 66",251.18677,-47.41792,"nan","nan","nan","UCC G338.1-01.1",37,2.5,251.184,-47.421,0.293,-2.872,-4.246,-36.376,7,0.29,0.45,"CC"
"Ryu 67",246.52635,-44.42607,"nan","nan","nan","UCC G338.1+03.2",0,1.4,246.526,-44.427,0.03,-4.56,-4.686,-84.36,1,0.77,0.34,"AC"
"Ryu 331",245.32676,-43.54946,"nan","nan","nan","UCC G338.1+04.5",85,2.1,245.325,-43.549,0.224,-4.229,-4.2,-34.302,4,0.92,0.32,"AC"
"HSC 2808",247.49124,-45.01843,0.558,-0.784,-0.686,"UCC G338.1+02.3",21,7.2,247.439,-45.038,0.568,-0.816,-0.72,"nan",0,0.62,0.53,"BB"
"Lynga 11;OCL 979;ESO 277 01;MWSC 2433",249.53124,-46.31149,"nan","nan","nan","UCC G338.1+00.4",0,2.6,249.531,-46.323,0.238,-2.158,-2.296,-45.149,1,0.48,0.4,"CC"
"UBC 1552",250.93,-47.11,0.35,-2.98,-4.24,"UCC G338.2-00.7",0,4.1,250.949,-47.099,0.353,-2.955,-4.219,-15.467,1,0.76,0.92,"AA"
"CWNU 2392",250.62227,-46.85954,0.442,-1.499,-3.0,"UCC G338.2-00.4",43,6.3,250.602,-46.877,0.433,-1.504,-2.99,-7.986,2,0.72,0.74,"BB"
"OCSN 93",260.63,-51.85,3.52,-8.55,-17.02,"UCC G338.2-08.6",56,76.2,261.085,-51.557,3.526,-9.039,-17.108,-6.853,16,0.81,0.38,"AC"
"VVV 85;VVV-CL 085",251.36316,-47.21747,"nan","nan","nan","UCC G338.3-01.0",0,2.4,251.347,-47.227,0.262,-2.409,-3.961,-46.652,1,0.36,0.48,"CC"
"CWNU 1113",227.3638,-25.282,6.512,-16.489,-20.762,"UCC G338.3+27.9",76,149.8,227.67,-25.053,6.489,-16.122,-20.743,-3.466,29,0.99,0.71,"AB"
"UBC 1553",248.87592,-45.64298,0.271,-1.845,-2.311,"UCC G338.3+01.2",0,1.8,248.893,-45.65,0.265,-1.849,-2.317,-67.35,4,0.49,1.0,"CA"
"UBC 546",253.687,-48.459,0.496,-1.276,-2.691,"UCC G338.3-03.0",117,9.6,253.684,-48.462,0.509,-1.257,-2.7,-47.945,13,1.0,1.0,"AA"
"CWWDL 13344",253.7164,-48.4598,0.508,-1.212,-2.656,"UCC G338.3-03.0a",96,8.2,253.69,-48.454,0.509,-1.258,-2.701,-48.272,12,1.0,0.92,"AA"
"Ryu 68",251.12955,-46.98831,"nan","nan","nan","UCC G338.4-00.8",42,2.4,251.128,-46.986,0.412,-2.025,-3.266,-33.448,3,0.17,0.37,"DC"
"NGC 6178;Collinder 308;OCL 980;ESO 276 06;MWSC 2428",248.939,-45.635,1.099,0.521,-3.342,"UCC G338.4+01.2",126,10.8,248.933,-45.628,1.111,0.443,-3.358,-10.239,23,1.0,0.62,"AB"
"Ryu 333",249.51524,-45.99574,"nan","nan","nan","UCC G338.4+00.6",29,3.3,249.512,-45.99,0.247,-2.518,-3.942,-36.317,5,0.52,0.52,"BB"
"CWNU 2873",250.62651,-46.59642,0.342,-2.114,-4.187,"UCC G338.4-00.2",42,7.1,250.679,-46.584,0.342,-2.106,-4.182,-35.839,4,0.45,0.68,"CB"
"Ryu 69",254.76741,-48.89065,"nan","nan","nan","UCC G338.4-03.9",0,1.3,254.761,-48.899,0.216,-2.809,-5.634,-103.793,3,0.23,0.25,"DC"
"Ryu 70",250.47835,-46.48057,"nan","nan","nan","UCC G338.4-00.1",61,1.9,250.478,-46.485,0.372,-2.302,-3.78,-26.331,4,0.33,0.37,"CC"
"UBC 547",251.64,-47.103,0.312,-0.744,-2.007,"UCC G338.5-01.1",116,9.7,251.681,-47.107,0.353,-0.767,-1.976,-29.252,7,1.0,0.91,"AA"
"Ryu 71",249.89767,-46.05893,"nan","nan","nan","UCC G338.5+00.4",25,2.5,249.849,-46.046,0.216,-1.973,-3.04,-35.071,3,0.76,0.5,"AC"
"Ryu 72",253.15186,-47.94186,"nan","nan","nan","UCC G338.5-02.4",70,1.9,253.151,-47.951,0.074,-4.591,-5.718,-49.397,1,0.91,0.29,"AC"
"NGC 6204",251.538,-47.027,0.805,-0.69,-0.596,"UCC G338.5-01.0",417,5.8,251.54,-47.023,0.829,-0.739,-0.61,5.566,39,1.0,0.79,"AA"
"Hogg 22;OCL 981;ESO 277 11;MWSC 2459",251.655,-47.08875,0.348,-0.767,-2.02,"UCC G338.5-01.1a",57,5.6,251.68,-47.086,0.352,-0.749,-1.969,-7.776,2,0.96,0.99,"AA"
