"ID","RA_ICRS","DE_ICRS","plx","pmRA","pmDE","UCC_ID","N_50","r_50","RA_ICRS_m","DE_ICRS_m","plx_m","pmRA_m","pmDE_m","Rv_m","N_Rv","C1","C2","C3"
"Dutra-Bica 58",266.268,-28.848,"nan","nan","nan","UCC G000.0+00.1",77,8.6,266.274,-28.858,0.429,-0.112,-0.43,-11.754,1,0.87,0.6,"AB"
"ESO 456 05;AL 2;Andrews-Lindsay 2;MWSC 2734",268.2709,-29.88878,"nan","nan","nan","UCC G000.0-01.8",37,6.0,268.23,-29.875,0.362,-0.282,-1.936,23.022,3,0.93,1.0,"AA"
"VVV 151;VVV-CL 151",267.82153,-29.65676,"nan","nan","nan","UCC G000.0-01.4",0,3.1,267.841,-29.652,0.174,-1.905,-4.303,"nan",0,0.31,0.68,"CB"
"DB 1;Dutra-Bica 1",266.70606,-29.06133,"nan","nan","nan","UCC G000.0-00.2",0,1.8,266.714,-29.057,0.398,-1.338,-2.951,24.157,4,0.63,0.28,"BC"
"FSR 0001;MWSC 2622",263.09679,-27.06227,"nan","nan","nan","UCC G000.0+03.4",34,7.6,263.061,-27.122,0.052,-4.299,-2.589,-52.549,3,0.09,0.51,"DB"
"FSR 0002;MWSC 2623",263.13512,-27.06842,"nan","nan","nan","UCC G000.0+03.4a",0,6.9,263.163,-27.111,0.048,-4.502,-6.769,-0.852,2,0.43,0.54,"CB"
"Ryu 152",264.37026,-27.76323,"nan","nan","nan","UCC G000.0+02.1",18,2.1,264.363,-27.762,0.0,-3.387,-5.077,-79.792,2,0.19,0.37,"DC"
"Ryu 537",261.73039,-26.18957,"nan","nan","nan","UCC G000.0+04.9",0,1.1,261.734,-26.191,0.103,-3.198,-4.489,70.147,2,0.42,0.27,"CC"
"Ryu 153",266.51323,-28.87683,"nan","nan","nan","UCC G000.1+00.0",55,3.3,266.544,-28.87,0.472,-0.795,-2.231,13.288,3,0.33,0.36,"CC"
"DB 2;Dutra-Bica 2",266.99821,-29.12234,"nan","nan","nan","UCC G000.1-00.5",25,4.5,266.987,-29.122,0.386,-0.228,-0.698,6.343,2,0.2,0.45,"DC"
"VVV 142;VVV-CL 142",266.13958,-28.66487,"nan","nan","nan","UCC G000.1+00.3",50,5.0,266.143,-28.636,0.496,0.057,-1.556,-24.851,2,0.24,0.47,"DC"
"Ryu 538",262.1084,-26.36593,"nan","nan","nan","UCC G000.1+04.5",255,3.6,262.117,-26.385,0.036,-3.065,-5.647,-40.242,1,0.61,0.29,"BC"
"DB 29;Dutra-Bica 29",265.5571,-28.31384,"nan","nan","nan","UCC G000.1+00.9",25,5.6,265.538,-28.297,0.186,-2.206,-3.858,-29.425,3,0.43,0.62,"CB"
"Ruprecht 131;OCL 2;ESO 455 45;MWSC 2706",267.30518,-29.24316,"nan","nan","nan","UCC G000.1-00.8",0,2.2,267.302,-29.256,0.384,-1.068,-1.962,"nan",0,0.21,0.29,"DC"
"VVV 146;VVV-CL 146",266.50394,-28.81332,"nan","nan","nan","UCC G000.1+00.0a",6,6.3,266.573,-28.834,0.437,-0.808,-2.051,-10.452,4,0.69,0.46,"BC"
"Ryu 539",261.56929,-26.00977,"nan","nan","nan","UCC G000.1+05.1",0,1.2,261.554,-26.014,0.16,-2.92,-5.006,"nan",0,0.24,0.27,"DC"
"UBC 1001",267.36,-29.23,0.37,0.42,-1.94,"UCC G000.1-00.8a",85,11.7,267.364,-29.277,0.365,0.443,-1.928,-35.893,6,0.92,1.0,"AA"
"Ryu 540",271.19839,-31.11075,"nan","nan","nan","UCC G000.2-04.6",45,2.2,271.2,-31.122,0.228,-0.291,-4.309,-22.093,5,0.17,0.44,"DC"
"UBC 1593",267.03,-29.01,0.58,0.57,-1.43,"UCC G000.2-00.5",81,11.3,267.027,-29.018,0.564,0.583,-1.401,"nan",0,0.97,1.0,"AA"
"Casado 7",267.03259,-28.99749,0.572,0.527,-1.455,"UCC G000.2-00.5a",85,6.3,267.023,-29.019,0.561,0.583,-1.403,18.629,1,0.59,0.86,"BA"
"CWWDL 7654",267.0515,-28.9924,0.578,0.51,-1.354,"UCC G000.2-00.5b",59,4.9,267.023,-29.018,0.57,0.59,-1.404,"nan",0,0.72,0.91,"BA"
"Cmg 451",265.83168,-28.32228,"nan","nan","nan","UCC G000.2+00.7",20,5.3,265.816,-28.299,0.376,-0.508,-2.577,-11.046,5,0.46,0.55,"CB"
"Ruprecht 134;OCL 4;VDBH 252;vdBergh-Hagen 252;ESO 456 01;MWSC 2730",268.184,-29.537,0.391,-1.653,-2.432,"UCC G000.2-01.6",404,5.1,268.182,-29.533,0.396,-1.609,-2.445,-41.838,15,1.0,1.0,"AA"
"UFMG 88",268.20394,-29.47872,0.619,2.044,-1.617,"UCC G000.3-01.6",36,6.3,268.237,-29.495,0.641,2.107,-1.694,-24.835,5,0.95,1.0,"AA"
"Ryu 541",267.02841,-28.8463,"nan","nan","nan","UCC G000.3-00.4",60,1.8,267.026,-28.849,0.394,-0.412,-2.043,-20.241,3,0.16,0.3,"DC"
"DB 18;Dutra-Bica 18;MWSC 2665",265.71013,-28.11509,"nan","nan","nan","UCC G000.3+00.9",50,6.9,265.672,-28.147,0.247,-2.558,-4.249,-39.647,2,0.58,0.58,"BB"
"OCSN 1",260.16,-24.86,6.73,-4.75,-21.64,"UCC G000.4+06.8",80,95.2,259.702,-25.003,6.728,-4.766,-21.684,-3.718,35,1.0,0.45,"AC"
"Schmitz J1808.6-3116",272.16382,-31.2688,"nan","nan","nan","UCC G000.4-05.4",0,2.1,272.177,-31.276,0.187,-4.084,-6.193,"nan",0,0.29,0.63,"CB"
"HSC 2",268.62743,-29.53106,0.634,1.68,-1.182,"UCC G000.4-01.9",42,9.9,268.557,-29.541,0.625,1.66,-1.198,"nan",0,0.99,0.67,"AB"
"ESO 337 23",289.8275,-37.62,"nan","nan","nan","UCC G000.5-21.3",0,4.0,289.845,-37.593,0.272,-1.893,-5.392,"nan",0,0.29,0.23,"CD"
"ESO 455 44",267.26144,-28.75914,"nan","nan","nan","UCC G000.5-00.5",18,9.1,267.299,-28.711,0.354,-0.615,-1.926,0.294,4,0.22,0.59,"DB"
"HSC 3",273.73496,-31.87472,0.647,0.371,0.21,"UCC G000.5-06.9",35,15.7,273.727,-31.938,0.635,0.358,0.238,-24.204,10,0.99,0.71,"AB"
"DB 20;Dutra-Bica 20",265.80027,-27.9292,"nan","nan","nan","UCC G000.5+00.9",4,5.0,265.743,-27.874,0.278,-2.737,-4.898,-14.711,2,0.34,0.48,"CC"
"HSC 4",269.07222,-29.6381,0.112,2.125,-11.895,"UCC G000.5-02.3",82,2.1,269.069,-29.639,0.124,2.05,-11.842,-130.743,1,0.67,0.38,"BC"
"Collinder 351",267.34684,-28.74936,0.439,-0.565,-1.136,"UCC G000.5-00.6",47,3.4,267.434,-28.776,0.423,-0.499,-1.151,"nan",0,0.79,1.0,"AA"
"UBC 91",267.433,-28.761,0.42,-0.587,-1.126,"UCC G000.6-00.6",101,7.0,267.446,-28.747,0.41,-0.617,-1.139,-36.777,7,1.0,1.0,"AA"
"DB 21;Dutra-Bica 21",265.82404,-27.89517,"nan","nan","nan","UCC G000.6+00.9",29,8.3,265.778,-27.838,0.285,-1.0,-2.159,-8.46,4,0.54,0.68,"BB"
"HSC 5",276.78242,-33.09355,0.657,0.15,-6.676,"UCC G000.6-09.7",7,13.5,276.786,-33.113,0.588,0.079,-6.684,-43.665,1,0.16,0.43,"DC"
"UBC 1567",269.01,-29.51,0.38,-0.1,-0.47,"UCC G000.6-02.2",47,2.9,269.021,-29.503,0.382,-0.078,-0.48,20.849,2,1.0,1.0,"AA"
"CWWDL 4491",269.0125,-29.5099,0.392,-0.108,-0.546,"UCC G000.6-02.2a",108,3.9,269.02,-29.508,0.381,-0.087,-0.493,-18.645,5,1.0,1.0,"AA"
"ASCC 96;Ferrero 1;Slotegraaf 61;MWSC 2893",275.063,-32.338,1.145,0.149,-4.809,"UCC G000.6-08.1",124,10.0,275.039,-32.363,1.145,0.16,-4.839,-6.633,37,1.0,0.9,"AA"
"HSC 6",267.70722,-28.82465,0.252,-0.292,-1.516,"UCC G000.6-00.9",63,4.3,267.714,-28.805,0.283,-0.273,-1.483,-7.872,4,0.09,0.97,"DA"
"UFMG 92",269.029,-29.5026,0.39,-0.095,-0.471,"UCC G000.6-02.2b",85,2.8,269.021,-29.508,0.382,-0.081,-0.48,-18.645,5,1.0,1.0,"AA"
"Dutra-Bica 13;DB 13;MWSC 2748",268.82897,-29.39098,"nan","nan","nan","UCC G000.6-02.0",0,3.1,268.826,-29.407,0.173,-1.59,-2.896,-154.735,1,0.17,0.6,"DB"
"Ryu 154",261.56014,-25.26322,"nan","nan","nan","UCC G000.7+05.6",52,2.8,261.571,-25.26,0.101,-3.491,-6.806,186.958,3,0.39,0.47,"CC"
"HSC 7",261.39725,-25.13486,0.464,-5.033,-0.983,"UCC G000.8+05.8",16,7.6,261.416,-25.136,0.395,-5.073,-1.098,"nan",0,0.16,0.43,"DC"
"HSC 8",267.67304,-28.63475,0.34,0.207,-0.211,"UCC G000.8-00.7",24,5.6,267.727,-28.628,0.347,0.197,-0.242,-14.614,5,0.75,0.76,"AA"
"HSC 9",269.0541,-29.3344,0.549,2.12,-0.289,"UCC G000.8-02.1",21,7.6,269.204,-29.23,0.552,2.117,-0.311,21.68,2,0.96,0.98,"AA"
"DB 19;Dutra-Bica 19",265.67313,-27.48357,"nan","nan","nan","UCC G000.9+01.3",10,4.3,265.684,-27.468,-0.147,-3.631,-6.733,-15.289,1,0.31,0.66,"CB"
"DB 17;Dutra-Bica 17",266.48966,-27.89227,"nan","nan","nan","UCC G000.9+00.4",54,6.6,266.463,-27.906,0.442,-1.052,-2.975,-2.284,3,0.55,0.41,"BC"
"HSC 10",268.22553,-28.79675,0.351,-0.2,-1.753,"UCC G000.9-01.2",0,3.9,268.246,-28.771,0.35,-0.203,-1.769,3.986,2,0.52,1.0,"BA"
"HSC 11",267.41555,-28.34712,0.653,-1.502,-4.699,"UCC G000.9-00.4",24,5.9,267.413,-28.348,0.649,-1.47,-4.678,-1.357,5,0.52,0.56,"BB"
"UFMG 71",265.55401,-27.33227,0.628,0.754,-1.78,"UCC G000.9+01.4",33,8.1,265.549,-27.327,0.655,0.725,-1.798,"nan",0,0.87,0.81,"AA"
"Dutra-Bica 24",268.853,-29.045,"nan","nan","nan","UCC G001.0-01.8",0,2.6,268.853,-29.042,0.161,-1.251,-4.365,"nan",0,0.09,0.59,"DB"
"Ruprecht 133",268.099,-28.652,"nan","nan","nan","UCC G001.0-01.1",0,2.7,268.112,-28.652,0.308,-0.335,-2.551,-22.91,1,0.33,0.82,"CA"
"Ryu 544",266.86003,-27.95062,"nan","nan","nan","UCC G001.0+00.1",45,2.0,266.854,-27.95,0.486,0.037,-1.574,-29.4,3,0.29,0.33,"CC"
"DB 25;Dutra-Bica 25;MWSC 2763",269.72547,-29.39678,"nan","nan","nan","UCC G001.0-02.7",0,2.6,269.711,-29.396,0.476,-4.24,-5.167,"nan",0,0.17,0.41,"DC"
"HSC 12",270.99783,-30.01874,0.95,0.791,0.887,"UCC G001.0-03.9",30,16.7,271.004,-30.014,0.959,0.778,0.827,-8.932,6,0.96,0.76,"AA"
"Ryu 155",270.54667,-29.7796,"nan","nan","nan","UCC G001.1-03.5",0,1.0,270.548,-29.777,0.104,-4.658,-5.366,113.614,1,0.33,0.24,"CD"
"HSC 13",269.0487,-28.9425,0.412,-0.487,-2.946,"UCC G001.1-01.9",32,4.6,269.039,-28.963,0.415,-0.497,-2.886,10.379,2,0.95,1.0,"AA"
"UFMG 93",269.47446,-29.15426,0.329,-0.09,-2.557,"UCC G001.1-02.4",74,3.8,269.485,-29.153,0.32,-0.1,-2.578,-3.085,2,1.0,1.0,"AA"
"HSC 14",267.29987,-28.00804,0.424,-0.005,-0.527,"UCC G001.2-00.1",22,4.5,267.316,-27.979,0.428,-0.024,-0.564,-27.915,1,0.13,0.78,"DA"
"Ryu 156",270.49845,-29.62993,"nan","nan","nan","UCC G001.2-03.4",0,1.0,270.506,-29.633,0.111,-2.61,-4.173,"nan",0,0.18,0.24,"DD"
"Ryu 157",261.77779,-24.85669,"nan","nan","nan","UCC G001.2+05.6",0,1.1,261.771,-24.857,0.145,-4.756,-5.383,51.79,3,0.2,0.23,"DD"
"Ruprecht 168;OCL 7;ESO 456 03;MWSC 2732",268.19458,-28.43876,"nan","nan","nan","UCC G001.2-01.0",0,2.9,268.201,-28.45,0.13,-1.46,-2.111,"nan",0,0.1,0.66,"DB"
"Dolidze 50;OCL 32;Alessi J1605.5-2031;MWSC 2349",241.40725,-10.24647,"nan","nan","nan","UCC G001.2+29.9",0,6.5,241.422,-10.226,0.282,-4.313,-5.472,11.253,2,0.29,0.29,"CC"
"HSC 15",278.9722,-33.29083,0.096,-2.898,-4.45,"UCC G001.2-11.5",75,4.7,278.967,-33.294,0.116,-2.836,-4.452,-59.242,2,0.09,0.46,"DC"
"NGC 6519;ESO 456 41",270.88905,-29.74052,"nan","nan","nan","UCC G001.2-03.7",38,6.9,270.898,-29.731,0.072,-5.663,-4.142,"nan",0,0.21,0.7,"DB"
"Ryu 545",267.88056,-28.19898,"nan","nan","nan","UCC G001.3-00.7",60,1.9,267.881,-28.195,0.3,-0.176,-2.277,-14.94,1,0.6,0.56,"BB"
"MWSC 5708",287.98883,-36.31758,"nan","nan","nan","UCC G001.3-19.5",0,3.6,287.981,-36.34,0.175,-3.501,-5.079,71.233,1,0.14,0.21,"DD"
"Ryu 546",267.36284,-27.89138,"nan","nan","nan","UCC G001.3-00.1",31,1.5,267.364,-27.888,0.329,-0.306,-2.321,-21.132,4,0.16,0.33,"DC"
"CWWDL 1671",268.1044,-28.2058,0.306,-0.091,-1.907,"UCC G001.3-00.9",44,2.9,268.11,-28.209,0.306,-0.036,-1.911,-14.584,5,0.44,1.0,"CA"
"Dutra-Bica 28;DB 28;MWSC 2738",268.36232,-28.33272,"nan","nan","nan","UCC G001.4-01.1",0,3.1,268.368,-28.34,0.16,-1.164,-0.734,-45.685,1,0.4,0.58,"CB"
"UBC 1002",268.11,-28.2,0.28,0.01,-1.96,"UCC G001.4-00.9",67,8.5,268.116,-28.197,0.274,0.014,-1.932,-8.924,9,0.81,1.0,"AA"
"UFMG 83",268.09751,-28.17784,0.294,-0.062,-2.029,"UCC G001.4-00.8",0,2.0,268.112,-28.177,0.296,-0.021,-1.995,-14.142,4,0.41,1.0,"CA"
"CWNU 2146",264.13804,-25.96159,0.656,1.872,-0.361,"UCC G001.4+03.2",23,7.3,264.165,-25.932,0.628,1.864,-0.361,8.835,3,0.94,0.6,"AB"
"Ryu 547",263.58092,-25.63225,"nan","nan","nan","UCC G001.4+03.8",98,2.3,263.6,-25.635,0.158,-3.045,-5.308,-29.592,1,0.94,0.28,"AC"
"HSC 16",255.76282,-20.69443,0.321,-0.26,-2.146,"UCC G001.5+12.5",0,3.1,255.771,-20.701,0.305,-0.213,-2.135,-44.115,1,0.24,0.41,"DC"
"UFMG 95",270.69161,-29.37704,0.842,1.806,-0.956,"UCC G001.5-03.4",35,7.7,270.688,-29.38,0.851,1.815,-0.944,-19.872,2,0.97,0.94,"AA"
"Ryu 548",265.33972,-26.5584,"nan","nan","nan","UCC G001.5+02.0",35,1.9,265.346,-26.558,0.039,-3.55,-6.193,84.738,1,0.69,0.33,"BC"
"Dutra-Bica 30;DB 30;MWSC 2756",269.23199,-28.62643,"nan","nan","nan","UCC G001.5-01.9",48,6.1,269.239,-28.617,0.065,-3.386,-6.139,-215.861,1,0.58,0.86,"BA"
"ASCC 98;MWSC 2979",280.65674,-33.63877,"nan","nan","nan","UCC G001.5-12.9",52,5.3,280.65,-33.637,0.186,-2.475,-5.961,53.256,1,0.27,0.47,"CC"
"DB 31;Dutra-Bica 31;MWSC 2721",267.69624,-27.788,"nan","nan","nan","UCC G001.5-00.3",0,2.3,267.682,-27.802,0.285,-0.667,-2.386,-9.342,4,0.44,0.42,"CC"
"MWSC 5706",287.40383,-35.86289,"nan","nan","nan","UCC G001.5-18.9",0,3.3,287.402,-35.852,0.13,-2.269,-4.878,-12.146,2,0.29,0.24,"CD"
"CWNU 2569",267.11608,-27.40618,0.42,0.862,0.481,"UCC G001.6+00.2",45,3.1,267.116,-27.395,0.418,0.879,0.477,-40.364,2,0.33,0.72,"CB"
"OC 0001",267.9818,-27.85131,0.347,0.747,0.124,"UCC G001.6-00.6",216,5.5,267.982,-27.832,0.352,0.736,0.135,-25.542,14,0.99,0.91,"AA"
"UBC 336",267.98,-27.85,0.31,0.736,0.156,"UCC G001.6-00.6a",49,2.5,267.989,-27.851,0.333,0.774,0.139,-25.542,5,0.72,1.0,"BA"
"Ryu 158",262.20544,-24.6118,"nan","nan","nan","UCC G001.6+05.4",118,2.3,262.205,-24.612,0.076,-3.034,-5.961,42.782,7,0.31,0.4,"CC"
"CWWDL 1676",267.9889,-27.8415,0.357,0.715,0.116,"UCC G001.6-00.6b",79,3.4,267.988,-27.828,0.373,0.746,0.133,-25.542,3,0.53,1.0,"BA"
"HSC 17",268.76869,-28.22565,0.78,1.239,-4.76,"UCC G001.6-01.4",17,10.5,268.73,-28.245,0.756,1.245,-4.806,4.91,2,0.79,0.55,"AB"
"CWNU 1785",267.88251,-27.74961,0.334,-0.113,-2.133,"UCC G001.6-00.5",79,5.4,267.848,-27.753,0.332,-0.111,-2.123,-2.715,10,0.87,0.87,"AA"
"Ryu 549",272.2578,-29.78192,"nan","nan","nan","UCC G001.8-04.8",0,1.0,272.264,-29.779,0.088,-4.91,-6.254,"nan",0,0.68,0.24,"BD"
"Ryu 159",265.69883,-26.38136,"nan","nan","nan","UCC G001.8+01.8",0,1.3,265.703,-26.378,0.177,-4.844,-4.569,"nan",0,0.13,0.21,"DD"
"FSR 0009;MWSC 2921",277.12854,-31.90205,"nan","nan","nan","UCC G001.8-09.5",18,8.9,277.168,-32.008,0.079,-3.078,-5.359,-63.671,3,0.2,0.61,"DB"
"CWNU 2050",270.18476,-28.72768,0.658,1.009,-0.184,"UCC G001.8-02.7",27,4.3,270.231,-28.723,0.642,0.989,-0.179,48.619,2,1.0,0.86,"AA"
"Ryu 550",266.77961,-26.94879,"nan","nan","nan","UCC G001.8+00.7",0,1.1,266.768,-26.942,0.4,-0.942,-1.924,21.448,3,0.49,0.32,"CC"
"DB 32;Dutra-Bica 32;MWSC 2768",269.8916,-28.55912,"nan","nan","nan","UCC G001.8-02.4",0,2.6,269.906,-28.554,0.222,0.94,-1.66,"nan",0,0.09,0.43,"DC"
"OC 0002",263.37775,-25.01999,0.817,1.157,-0.228,"UCC G001.8+04.3",71,7.4,263.393,-24.999,0.808,1.211,-0.25,-12.001,7,1.0,0.73,"AB"
"Dutra-Bica 33;DB 33;MWSC 2679",266.37768,-26.69838,"nan","nan","nan","UCC G001.8+01.1",0,2.3,266.382,-26.703,0.268,-1.557,-3.365,"nan",0,0.6,0.58,"BB"
"Ryu 160",272.64604,-29.8742,"nan","nan","nan","UCC G001.9-05.1",0,1.0,272.648,-29.869,0.183,-2.903,-5.819,-0.46,1,0.2,0.28,"DC"
"UFMG 63",263.39135,-25.01037,0.801,1.212,-0.268,"UCC G001.9+04.3",68,7.5,263.397,-25.003,0.81,1.22,-0.269,-12.001,7,1.0,0.73,"AB"
"HSC 18",279.92768,-32.96086,0.193,-0.79,-6.641,"UCC G001.9-12.1",27,6.9,279.905,-32.913,0.199,-0.73,-6.676,-27.263,2,0.2,0.55,"DB"
"HSC 19",271.09731,-29.07542,0.114,-3.411,-5.028,"UCC G001.9-03.6",0,3.0,271.086,-29.08,0.103,-3.396,-5.028,"nan",0,0.33,0.63,"CB"
"ESO 456 60",272.17861,-29.57405,"nan","nan","nan","UCC G001.9-04.6",55,10.4,272.201,-29.543,0.084,-2.883,-5.999,57.221,5,0.38,0.86,"CA"
"Ryu 551",270.04684,-28.52195,"nan","nan","nan","UCC G001.9-02.5",0,1.3,270.045,-28.52,0.07,-5.12,-7.844,"nan",0,0.46,0.24,"CD"
"HSC 20",265.56563,-26.11127,0.326,0.536,-0.207,"UCC G002.0+02.1",35,4.6,265.56,-26.102,0.338,0.54,-0.19,-0.692,5,0.98,1.0,"AA"
"Ryu 552",264.31778,-25.36939,"nan","nan","nan","UCC G002.0+03.4",20,3.8,264.307,-25.387,-0.063,-2.458,-7.302,"nan",0,0.35,0.33,"CC"
"FSR 0010;MWSC 2442",250.20912,-16.0233,"nan","nan","nan","UCC G002.1+19.6",0,4.4,250.231,-16.039,0.288,-4.013,-4.295,"nan",0,0.2,0.25,"DD"
"Ryu 553",267.91425,-27.22818,"nan","nan","nan","UCC G002.1-00.2",40,3.2,267.921,-27.245,0.367,-0.487,-2.162,-42.553,1,0.18,0.47,"DC"
"Ryu 161",263.37406,-24.68294,"nan","nan","nan","UCC G002.1+04.5",44,3.2,263.385,-24.679,0.145,-3.967,-5.34,-1.266,1,0.65,0.4,"BC"
"DB 59;Dutra-Bica 59;DB2001 1;BDB 3;MWSC 2648;MWSC 2645",264.41556,-25.24813,"nan","nan","nan","UCC G002.2+03.4",6,9.9,264.402,-25.202,0.104,-3.567,-4.416,37.795,1,0.6,0.47,"BC"
"Trumpler 31",269.933,-28.207,"nan","nan","nan","UCC G002.2-02.2",0,3.0,269.935,-28.209,0.164,-4.71,-6.96,"nan",0,0.13,0.55,"DB"
"VDBH 253;Czernik 37;OCL 8;vdBergh-Hagen 253;ESO 521 03;MWSC 2737",268.32,-27.373,0.406,0.459,-0.445,"UCC G002.2-00.6",520,4.2,268.32,-27.375,0.373,0.461,-0.463,-17.391,41,1.0,0.79,"AA"
"HSC 23",281.87999,-33.33871,0.299,-1.219,-5.795,"UCC G002.2-13.7",17,6.9,281.909,-33.305,0.265,-1.253,-5.818,"nan",0,0.31,0.46,"CC"
"HSC 25",265.39154,-25.7016,0.053,-5.898,-6.197,"UCC G002.2+02.4",0,1.4,265.382,-25.707,0.04,-5.927,-5.814,"nan",0,0.71,0.29,"BC"
"Schmitz J1816.2-3004",274.05927,-30.06519,"nan","nan","nan","UCC G002.3-06.3",51,5.2,274.07,-30.032,0.114,-0.899,-6.039,-94.782,1,0.27,0.66,"CB"
"DB 35;Dutra-Bica 35",266.45206,-26.25607,"nan","nan","nan","UCC G002.3+01.3",48,6.1,266.466,-26.257,0.293,-0.274,-1.57,8.004,6,0.81,0.88,"AA"
"DB 36;Dutra-Bica 36;MWSC 2683",266.42558,-26.21818,"nan","nan","nan","UCC G002.3+01.4",33,6.2,266.437,-26.18,0.132,-3.668,-6.132,98.895,3,0.86,0.66,"AB"
"HSC 26",268.61501,-27.38502,0.358,-0.253,-1.939,"UCC G002.3-00.8",52,5.7,268.62,-27.419,0.378,-0.232,-1.817,-2.867,1,0.58,0.84,"BA"
"ESO 456 72;MWSC 2840",273.12064,-29.57119,"nan","nan","nan","UCC G002.3-05.3",0,2.7,273.112,-29.577,0.177,-3.19,-4.719,"nan",0,0.41,0.65,"CB"
"HSC 27",267.27278,-26.63021,0.969,0.122,-5.789,"UCC G002.3+00.5",0,7.8,267.242,-26.619,0.968,-0.08,-5.736,-10.726,5,0.56,0.36,"BC"
"HXHWL 29",268.05934,-27.03595,1.652,0.895,-5.103,"UCC G002.3-00.2",97,12.4,268.065,-27.015,1.663,0.896,-5.132,0.956,32,1.0,0.8,"AA"
"CWNU 1494",270.5177,-28.27872,0.588,1.141,0.093,"UCC G002.3-02.7",35,5.6,270.532,-28.286,0.594,1.139,0.075,"nan",0,1.0,1.0,"AA"
"CWWDL 14643",268.0878,-27.0118,1.726,0.895,-5.165,"UCC G002.4-00.2",108,12.7,268.064,-27.016,1.664,0.896,-5.134,0.157,34,0.98,0.82,"AA"
"Ryu 554",269.7725,-27.87718,"nan","nan","nan","UCC G002.4-02.0",0,0.9,269.77,-27.87,0.147,-2.392,-4.299,"nan",0,0.22,0.24,"DD"
"MWSC 4355",262.6494,-23.93578,"nan","nan","nan","UCC G002.4+05.5",0,2.9,262.651,-23.929,0.112,-5.288,-6.7,-2.625,1,0.61,0.38,"BC"
"UFMG 89",269.28966,-27.59859,0.381,0.3,-1.953,"UCC G002.4-01.5",73,3.6,269.283,-27.606,0.361,0.311,-1.995,24.558,5,0.97,1.0,"AA"
"HSC 31",266.58579,-26.04071,0.294,-0.546,-1.857,"UCC G002.5+01.3",0,3.9,266.588,-26.047,0.278,-0.568,-1.936,0.143,2,0.15,0.66,"DB"
"Ryu 555",267.69239,-26.62182,"nan","nan","nan","UCC G002.5+00.2",83,3.0,267.703,-26.609,0.488,-0.14,-2.206,-29.37,10,0.42,0.38,"CC"
"DB 38;Dutra-Bica 38",267.24366,-26.35818,"nan","nan","nan","UCC G002.5+00.7",33,8.6,267.21,-26.4,0.453,-3.005,-5.335,-12.892,2,0.17,0.42,"DC"
"HSC 32",286.88243,-34.6797,0.409,-2.384,-2.73,"UCC G002.5-18.1",41,12.7,286.887,-34.673,0.381,-2.428,-2.701,29.13,3,0.13,0.45,"DC"
"DB 39;Dutra-Bica 39",268.75219,-27.14506,"nan","nan","nan","UCC G002.6-00.8",0,2.7,268.736,-27.146,0.36,-0.778,-1.843,"nan",0,0.21,0.3,"DC"
"HSC 34",266.62278,-25.93021,0.697,2.275,-1.055,"UCC G002.6+01.3",41,11.3,266.639,-25.947,0.694,2.238,-1.067,"nan",0,0.97,0.56,"AB"
"HSC 35",266.98685,-26.12444,0.535,-0.533,-0.809,"UCC G002.6+01.0",25,4.5,266.965,-26.141,0.531,-0.519,-0.792,-17.887,7,0.54,1.0,"BA"
"DB 40;Dutra-Bica 40;MWSC 2736",268.31154,-26.78693,"nan","nan","nan","UCC G002.7-00.3",32,11.7,268.313,-26.798,0.539,-0.833,-2.725,-1.725,3,0.47,0.44,"CC"
"HSC 36",268.74228,-27.00149,0.5,0.968,-0.218,"UCC G002.7-00.7",66,5.6,268.75,-27.013,0.502,0.972,-0.209,33.63,6,0.72,0.84,"BA"
"ESO 587 04;MWSC 2527",256.08964,-19.45712,"nan","nan","nan","UCC G002.7+13.0",0,2.5,256.098,-19.463,0.222,-1.625,-5.947,18.354,1,0.35,0.28,"CC"
"MWSC 5713",291.38034,-35.82299,"nan","nan","nan","UCC G002.7-21.9",69,9.1,291.32,-35.81,0.224,-0.837,-5.899,-19.228,3,0.46,0.41,"CC"
"LISC-III 3503",256.73241,-19.83622,0.949,-0.982,-3.278,"UCC G002.7+12.3",0,8.1,256.755,-19.805,0.884,-1.171,-3.32,-8.235,1,0.23,0.31,"DC"
"DB 41;Dutra-Bica 41",268.25665,-26.65353,"nan","nan","nan","UCC G002.8-00.2",76,9.3,268.269,-26.563,0.424,-0.08,-1.166,11.283,4,0.79,0.49,"AC"
"Ryu 556",269.68548,-27.34881,"nan","nan","nan","UCC G002.8-01.6",50,1.6,269.678,-27.35,0.098,-4.762,-7.232,"nan",0,0.65,0.41,"BC"
"DB 42;Dutra-Bica 42",267.68369,-26.30286,"nan","nan","nan","UCC G002.8+00.3",27,4.4,267.724,-26.314,0.479,-0.586,-1.973,12.601,5,0.16,0.39,"DC"
"Bica 27",267.68369,-26.30286,"nan","nan","nan","UCC G002.8+00.3a",38,5.9,267.714,-26.283,0.418,-0.302,-2.346,12.601,3,0.42,0.44,"CC"
"HSC 37",264.355,-24.40572,0.097,-3.173,-4.548,"UCC G002.8+03.9",85,2.5,264.347,-24.416,0.092,-3.103,-4.671,47.215,4,1.0,0.73,"AB"
"NGC 6520;Melotte 187;Collinder 361;OCL 10;VDBH 255;vdBergh-Hagen 255;ESO 456 42;MWSC 2790",270.856,-27.884,0.556,0.688,-0.418,"UCC G002.8-02.8",449,5.4,270.852,-27.885,0.548,0.704,-0.496,-23.497,8,1.0,1.0,"AA"
